"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF2018897","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/16/2007 8:19:00 AM","NA","0","LEMHIR","7/16/2007 8:42:00 AM","1"
"3D9.1BF20191B1","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/12/2007 10:12:00 AM","NA","0","LEMHIR","8/12/2007 10:45:00 AM","1"
"3D9.1BF201B325","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/1/2007 9:56:00 AM","NA","0","LEMHIR","7/1/2007 10:15:00 AM","1"
"3D9.1BF201B413","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/18/2007 9:27:00 AM","NA","0","LEMHIR","7/18/2007 9:55:00 AM","1"
"3D9.1BF201B8DB","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/5/2007 10:29:00 AM","NA","0","LEMHIR","7/5/2007 10:33:00 AM","1"
"3D9.1BF201E321","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","7/16/2007 8:19:00 AM","NA","0","LEMHIR","7/16/2007 8:42:00 AM","1"
"3D9.1BF256BD8D","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/26/2007 10:26:00 AM","NA","0","LEMHIR","6/26/2007 12:00:00 PM","1"
"3D9.1BF256BD8D","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/19/2007 2:57:00 PM","NA","0","LEMHIR","10/19/2007 3:45:00 PM","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","6/26/2007 10:26:00 AM","NA","0","LEMHIR","6/26/2007 12:00:00 PM","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/1/2008 9:25:06 PM","A1","140","","","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/1/2008 9:25:07 PM","A2","140","","","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/1/2008 9:25:19 PM","C1","140","","","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/1/2008 9:25:19 PM","C2","140","","","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/1/2008 9:25:21 PM","91","140","","","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","5/1/2008 9:25:22 PM","92","140","","","1"
"3D9.1BF25BE542","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/28/2007 3:49:00 PM","NA","0","LEMHIR","10/28/2007 4:16:00 PM","1"
"3D9.1BF25BFDDD","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","10/6/2007 9:17:00 AM","NA","0","LEMHIW","10/6/2007 11:00:00 AM","1"
"3D9.1BF25BFDDD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2008 9:46:34 PM","A1","140","","","1"
"3D9.1BF25BFDDD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2008 9:46:34 PM","A2","140","","","1"
"3D9.1BF25BFDDD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2008 9:46:34 PM","A3","140","","","1"
"3D9.1BF25BFDDD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2008 9:46:34 PM","A4","140","","","1"
"3D9.1BF25BFDDD","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2008 9:46:37 PM","11","140","","","1"
