"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/7/2010 8:47:00 AM","NA","0","LEMHIR","9/7/2010 9:51:00 AM","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:19:10 PM","02","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:19:16 PM","04","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:34 PM","B1","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:34 PM","B2","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:34 PM","B3","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:35 PM","B4","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:51 PM","D1","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:51 PM","D2","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:51 PM","D3","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:20:51 PM","D4","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:21:48 PM","81","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:21:48 PM","82","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:21:49 PM","83","160","","","1"
"3D9.1BF1670553","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/6/2011 9:21:49 PM","84","160","","","1"
"3D9.1BF1670D8F","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/7/2010 8:47:00 AM","NA","0","LEMHIR","9/7/2010 9:51:00 AM","1"
"3D9.1BF16723B9","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/7/2010 8:47:00 AM","NA","0","LEMHIR","9/7/2010 9:51:00 AM","1"
"3D9.1BF16723B9","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","9/8/2010 7:40:00 AM","NA","0","LEMHIR","9/8/2010 8:14:00 AM","1"
"3D9.1BF16B25BB","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/7/2010 8:47:00 AM","NA","0","LEMHIR","9/7/2010 9:51:00 AM","1"
"3D9.1BF16B25BB","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","9/9/2010 9:17:00 AM","NA","0","LEMHIR","9/9/2010 10:00:00 AM","1"
"3D9.1BF16B8CE8","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/6/2010 11:00:00 AM","NA","0","LEMHIR","9/6/2010 11:29:00 AM","1"
"3D9.1BF16B9459","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/7/2010 8:47:00 AM","NA","0","LEMHIR","9/7/2010 9:51:00 AM","1"
"3D9.1BF16B94D4","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/7/2010 8:47:00 AM","NA","0","LEMHIR","9/7/2010 9:51:00 AM","1"
"3D9.1BF16B94D4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/1/2011 7:50:26 AM","01","150","","","1"
"3D9.1BF16B94D4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/1/2011 7:50:28 AM","02","150","","","1"
"3D9.1BF16B94D4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/1/2011 7:50:30 AM","03","150","","","1"
"3D9.1BF16B94D4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/1/2011 7:50:32 AM","04","150","","","1"
"3D9.1BF16B94D4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","5/1/2011 8:16:16 AM","B1","150","","","1"
