"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF168786C","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","5/19/2007 9:39:00 AM","NA","0","LEMHIR","5/19/2007 10:00:00 AM","1"
"3D9.1BF168786C","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","6/2/2007 10:44:03 AM","A1","140","","","1"
"3D9.1BF168786C","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","6/2/2007 10:44:04 AM","A2","140","","","1"
"3D9.1BF168786C","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","6/2/2007 10:51:27 AM","C1","140","","","1"
"3D9.1BF168786C","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","6/2/2007 10:51:28 AM","C2","140","","","1"
"3D9.1BF168786C","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","6/2/2007 10:51:30 AM","91","140","","","1"
"3D9.1BF168786C","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","6/2/2007 10:51:30 AM","92","140","","","1"
"3D9.1BF16B25E7","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","5/20/2007 11:49:00 AM","NA","0","LEMHIR","5/20/2007 12:22:00 PM","1"
"3D9.1BF16B943F","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","5/11/2007 9:21:00 AM","NA","0","LEMHIR","5/11/2007 10:03:00 AM","1"
"3D9.1BF16B943F","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2007 1:03:58 PM","01","150","","","1"
"3D9.1BF16B943F","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2007 1:04:01 PM","02","150","","","1"
"3D9.1BF16B943F","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","B2J","6/4/2007 1:04:05 PM","03","150","","","1"
