"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1C2D496DDF","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","11/2/2011 9:59:00 AM","NA","0","LEMHIR","11/2/2011 10:22:00 AM","1"
"3D9.1C2D49FFBB","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/26/2010 7:09:00 AM","NA","0","LEMHIR","8/26/2010 12:40:00 PM","1"
"3D9.1C2D49FFBB","Chinook","Wild Fish or Natural Production","Observation","Instream Remote Detection System","LLR","9/7/2011 3:23:15 PM","A2","100","","","1"
"3D9.1C2D49FFBB","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","9/7/2011 8:18:00 AM","NA","0","LEMHIR","9/7/2011 8:53:00 AM","1"
"3D9.1C2D4C28CC","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/22/2011 7:34:00 AM","NA","0","LEMHIR","8/22/2011 7:45:00 AM","1"
"3D9.1C2D4C28CC","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/17/2012 10:45:46 PM","01","150","","","1"
"3D9.1C2D4C28CC","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/17/2012 10:45:48 PM","02","150","","","1"
"3D9.1C2D4C28CC","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/17/2012 10:45:52 PM","03","150","","","1"
"3D9.1C2D4C28CC","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/17/2012 10:45:54 PM","04","150","","","1"
"3D9.1C2D4C34D9","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/11/2011 7:49:00 AM","NA","0","LEMHIR","9/11/2011 7:57:00 AM","1"
"3D9.1C2D4C34D9","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/15/2012 3:32:08 PM","01","150","","","1"
"3D9.1C2D4C34D9","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/15/2012 3:32:10 PM","02","150","","","1"
"3D9.1C2D4C34D9","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/15/2012 3:32:16 PM","04","150","","","1"
"3D9.1C2D4C4691","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/22/2011 7:24:00 AM","NA","0","LEMHIR","9/22/2011 7:51:00 AM","1"
"3D9.1C2D4C4B41","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","8/6/2011 6:05:00 AM","NA","0","LEMHIR","8/6/2011 6:20:00 AM","1"
"3D9.1C2D4C4B41","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/15/2012 8:06:27 AM","A2","140","","","1"
"3D9.1C2D4C4B41","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GRJ","4/15/2012 8:06:38 AM","C1","140","","","1"
