"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF17D0ED0","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/5/2005 9:35:00 AM","NA","0","LEMHIR","9/5/2005 9:45:00 AM","1"
"3D9.1BF17D17DB","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/10/2005 10:14:00 AM","NA","0","LEMHIR","9/10/2005 10:47:00 AM","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/26/2005 11:30:00 AM","NA","0","LEMHIR","9/26/2005 1:09:00 PM","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:20 AM","A1","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:20 AM","A2","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:20 AM","A3","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:21 AM","A4","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:24 AM","81","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:24 AM","82","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:25 AM","83","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","JDJ","5/3/2006 3:48:25 AM","84","150","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","4/24/2006 12:23:31 PM","A1","140","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","4/24/2006 12:23:31 PM","A2","140","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","4/24/2006 12:23:32 PM","A3","140","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","4/24/2006 12:23:32 PM","A4","140","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","4/24/2006 12:23:54 PM","81","140","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","LMJ","4/24/2006 12:23:54 PM","82","140","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2006 4:45:15 AM","01","160","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2006 4:45:19 AM","02","160","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2006 4:45:21 AM","03","160","","","1"
"3D9.1BF17D1868","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","4/29/2006 4:45:25 AM","04","160","","","1"
