"Tag Code","Mark Species Name","Mark Rear Type Name","Event Type Name","Event Site Type Description","Event Site Code Value","Event Date Time Value","Antenna ID","Antenna Group Configuration Value","Event Release Site Code Code","Event Release Date Time Value","CTH Count"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","10/11/2008 11:12:00 AM","NA","0","LEMHIR","10/11/2008 1:21:00 PM","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2009 2:31:58 AM","01","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2009 2:32:00 AM","02","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2009 2:32:04 AM","03","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/2/2009 2:32:06 AM","04","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/3/2009 2:18:02 PM","A1","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/3/2009 2:18:02 PM","A2","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/3/2009 2:18:02 PM","A3","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/3/2009 2:18:02 PM","A4","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/3/2009 2:18:06 PM","11","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/3/2009 2:18:06 PM","12","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","5/3/2009 2:18:06 PM","13","150","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:26:31 PM","01","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:26:35 PM","02","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:26:37 PM","03","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:26:41 PM","04","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:07 PM","B1","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:07 PM","B2","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:08 PM","B3","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:08 PM","B4","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:19 PM","D1","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:20 PM","D2","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:20 PM","D3","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:28:20 PM","D4","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:29:17 PM","81","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:29:17 PM","82","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:29:17 PM","83","160","","","1"
"3D9.1BF25C4FC4","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","MCJ","5/8/2009 1:29:18 PM","84","160","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","9/21/2008 12:14:00 PM","NA","0","LEMHIW","9/21/2008 1:45:00 PM","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:02:56 PM","01","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:02:59 PM","02","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:03:02 PM","03","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:03:05 PM","04","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:42:06 PM","A1","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:42:06 PM","A2","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:42:06 PM","A3","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:42:06 PM","A4","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:42:10 PM","11","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:42:11 PM","12","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Observation","Juvenile Fish Bypass Facility","GOJ","4/22/2009 10:42:11 PM","13","150","","","1"
"3D9.1C2C2FC067","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","9/25/2008 9:25:00 AM","NA","0","LEMHIR","9/25/2008 12:02:00 PM","1"
"3D9.1C2C2FD639","Chinook","Wild Fish or Natural Production","Mark","Trap or Weir","LEMHIW","9/24/2008 11:20:00 AM","NA","0","LEMHIW","9/24/2008 12:20:00 PM","1"
"3D9.1C2C2FD639","Chinook","Wild Fish or Natural Production","Recapture","River","LEMHIR","10/9/2008 8:42:00 AM","NA","0","LEMHIR","10/9/2008 10:09:00 AM","1"
"3D9.1C2C30D18B","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/8/2008 10:08:00 AM","NA","0","LEMHIR","9/8/2008 11:15:00 AM","1"
"3D9.1C2C330D9B","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","11/6/2008 1:11:00 PM","NA","0","LEMHIR","11/6/2008 1:30:00 PM","1"
"3D9.1C2C39ECFD","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","10/7/2008 12:58:00 PM","NA","0","LEMHIR","10/7/2008 2:10:00 PM","1"
"3D9.1C2C39ED51","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","10/28/2008 12:06:00 PM","NA","0","LEMHIR","10/28/2008 12:54:00 PM","1"
"3D9.1C2C39EFAA","Chinook","Wild Fish or Natural Production","Mark","River","LEMHIR","9/11/2008 10:30:00 AM","NA","0","LEMHIR","9/11/2008 11:05:00 AM","1"
